errStatus,section,location,message
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '78LV (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '74FI (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '85NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '86SE (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '80NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '81NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '82NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '83NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '88SE (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '84NO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '87SE (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '91UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '92UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '93UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '94UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '95UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '96IE (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '98IT (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Grid.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2020 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_h2Storage.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2020 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2030 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2050 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2025 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2035 (lvl 2)'
yellow,parameter read-in,_basis/gasSector/par_power2xTech.csv,values provided for undefined set '2045 (lvl 2)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '01ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '2020 (lvl 2)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set 'processHeat_high (lvl 1)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set 'processHeat_low (lvl 1)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set 'processHeat_medium (lvl 1)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '02ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '03ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '04ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '05ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '06ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '07ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '08ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '09ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '10ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '11ES (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '12PT (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '13PT (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '14FR (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '15FR (lvl 4)'
yellow,parameter read-in,_basis/heatSector/par_heatDemand.csv,values provided for undefined set '16FR (lvl 4)'
