timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,capaStSize,2.6812107719065757e-5,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,expStSize,1.7974570952075743e-5,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,expStSize,3.08148304603557e-5,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,expStSize,2.420422478192097e-5,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,expStSize,2.4157936589802868e-5,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,expStSize,2.7805158075003888e-5,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,expStSize,1.6708449701642474e-5,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,expStSize,2.681210771906575e-5,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.0001198304730138383,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.00020543220306903803,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.0001613614985461398,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.00016105291059868577,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.00018536772050002594,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.0001113896646776165,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,expStOut,0.0001787473847937717,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,none,capaConv,3.3077193196223273,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,none,capaConv,2.1924974231211793,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,none,capaConv,1.3424588385767415,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,none,capaConv,2.4964437557120265,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,none,capaConv,2.8069825928954937,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,none,capaConv,2.6744470625863923,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,none,capaConv,4.036042486825707,
40th < 2040,EU < DE < de < 31DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.0001198304730138383,
40th < 2040,EU < DE < de < 32DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.000205432203069038,
40th < 2040,EU < DE < de < 33DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.0001613614985461398,
40th < 2040,EU < DE < de < 34DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.00016105291059868577,
40th < 2040,EU < DE < de < 35DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.00018536772050002594,
40th < 2040,EU < DE < de < 36DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.00011138966467761651,
40th < 2040,EU < DE < de < 37DE,heatpump < heatpumpGroundSpace,none,1,capaStIn,0.0001787473847937717,
