timestep_3,region_1,technology_1,parameter,value
d201,AT,wind,avaConv,0.004841447368421052
d202,AT,wind,avaConv,0.0
d203,AT,wind,avaConv,0.01063644005847953
d204,AT,wind,avaConv,0.006090314327485379
d205,AT,wind,avaConv,0.0
d206,AT,wind,avaConv,0.0
d207,AT,wind,avaConv,0.0
d208,AT,wind,avaConv,6.359649122807018e-6
d209,AT,wind,avaConv,0.0
d210,AT,wind,avaConv,0.0
d211,AT,wind,avaConv,0.00415080409356725
d212,AT,wind,avaConv,0.003730701754385965
d213,AT,wind,avaConv,7.631578947368421e-5
d214,AT,wind,avaConv,0.0016296418128654972
d215,AT,wind,avaConv,0.04994978070175439
d216,AT,wind,avaConv,0.0713156067251462
d217,AT,wind,avaConv,0.00999470029239766
d218,AT,wind,avaConv,0.0002798245614035088
d219,AT,wind,avaConv,0.001138377192982456
d220,AT,wind,avaConv,0.00145
d221,AT,wind,avaConv,0.006489802631578947
d222,AT,wind,avaConv,0.0
d223,AT,wind,avaConv,0.0002989035087719298
d224,AT,wind,avaConv,0.0019333333333333333
d225,AT,wind,avaConv,0.019608187134502922
d226,AT,wind,avaConv,0.025590716374269004
d227,AT,wind,avaConv,0.036172478070175436
d228,AT,wind,avaConv,0.00872532894736842
d229,AT,wind,avaConv,0.0008076754385964913
d230,AT,wind,avaConv,0.0
d231,AT,wind,avaConv,0.0
d232,AT,wind,avaConv,0.0
d233,AT,wind,avaConv,0.0
d234,AT,wind,avaConv,0.0
d235,AT,wind,avaConv,0.0
d236,AT,wind,avaConv,0.0
d237,AT,wind,avaConv,0.0
d238,AT,wind,avaConv,0.0
d239,AT,wind,avaConv,0.000718640350877193
d240,AT,wind,avaConv,0.010542105263157893
d241,AT,wind,avaConv,0.05094605263157895
d242,AT,wind,avaConv,0.004844627192982456
d243,AT,wind,avaConv,0.0011422149122807016
d244,AT,wind,avaConv,0.0014414839181286548
d245,AT,wind,avaConv,0.0
d246,AT,wind,avaConv,0.003513852339181286
d247,AT,wind,avaConv,0.05717119883040935
d248,AT,wind,avaConv,0.104903033625731
d249,AT,wind,avaConv,0.06328201754385965
d250,AT,wind,avaConv,0.040807529239766084
d251,AT,wind,avaConv,0.010808991228070176
d252,AT,wind,avaConv,0.012113194444444444
d253,AT,wind,avaConv,0.05312149122807018
