timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2419,LU,scr4,electricity,dem,0.466744641904084
h2420,LU,scr4,electricity,dem,0.458134751794194
h2421,LU,scr4,electricity,dem,0.447235026519469
h2422,LU,scr4,electricity,dem,0.438938323222766
h2423,LU,scr4,electricity,dem,0.421476784761227
h2424,LU,scr4,electricity,dem,0.395897114431557
h2425,LU,scr4,electricity,dem,0.470489938349842
h2426,LU,scr4,electricity,dem,0.459870432855337
h2427,LU,scr4,electricity,dem,0.457005048239952
h2428,LU,scr4,electricity,dem,0.462926751536656
h2429,LU,scr4,electricity,dem,0.467896531756436
h2430,LU,scr4,electricity,dem,0.485444608679513
h2431,LU,scr4,electricity,dem,0.51011768560259
h2432,LU,scr4,electricity,dem,0.536634169119073
h2433,LU,scr4,electricity,dem,0.558768784503689
h2434,LU,scr4,electricity,dem,0.571171257031161
h2435,LU,scr4,electricity,dem,0.575965213075117
h2436,LU,scr4,electricity,dem,0.571101202086106
h2437,LU,scr4,electricity,dem,0.560684993294897
h2438,LU,scr4,electricity,dem,0.547315487800392
h2439,LU,scr4,electricity,dem,0.539297630657535
h2440,LU,scr4,electricity,dem,0.538141037250941
h2441,LU,scr4,electricity,dem,0.545713839448744
h2442,LU,scr4,electricity,dem,0.556860817470722
h2443,LU,scr4,electricity,dem,0.563498180108084
h2444,LU,scr4,electricity,dem,0.554888289998194
h2445,LU,scr4,electricity,dem,0.543988564723469
h2446,LU,scr4,electricity,dem,0.535691861426766
h2447,LU,scr4,electricity,dem,0.518230322965227
h2448,LU,scr4,electricity,dem,0.492650652635557
h2449,LU,scr4,electricity,dem,0.488722239424842
h2450,LU,scr4,electricity,dem,0.478102733930337
h2451,LU,scr4,electricity,dem,0.475237349314952
h2452,LU,scr4,electricity,dem,0.481159052611656
h2453,LU,scr4,electricity,dem,0.486128832831436
h2454,LU,scr4,electricity,dem,0.503676909754513
h2455,LU,scr4,electricity,dem,0.52834998667759
h2456,LU,scr4,electricity,dem,0.554866470194073
h2457,LU,scr4,electricity,dem,0.577001085578689
h2458,LU,scr4,electricity,dem,0.589403558106161
h2459,LU,scr4,electricity,dem,0.594197514150117
h2460,LU,scr4,electricity,dem,0.589333503161106
h2461,LU,scr4,electricity,dem,0.578917294369898
h2462,LU,scr4,electricity,dem,0.565547788875392
h2463,LU,scr4,electricity,dem,0.557529931732535
h2464,LU,scr4,electricity,dem,0.556373338325941
h2465,LU,scr4,electricity,dem,0.563946140523744
h2466,LU,scr4,electricity,dem,0.575093118545722
h2467,LU,scr4,electricity,dem,0.581730481183084
h2468,LU,scr4,electricity,dem,0.573120591073194
h2469,LU,scr4,electricity,dem,0.562220865798469
h2470,LU,scr4,electricity,dem,0.553924162501765
h2471,LU,scr4,electricity,dem,0.536462624040227
h2472,LU,scr4,electricity,dem,0.510882953710557
h2473,LU,scr4,electricity,dem,0.482453884197842
h2474,LU,scr4,electricity,dem,0.471834378703337
h2475,LU,scr4,electricity,dem,0.468968994087952
h2476,LU,scr4,electricity,dem,0.474890697384656
h2477,LU,scr4,electricity,dem,0.479860477604436
h2478,LU,scr4,electricity,dem,0.497408554527513
h2479,LU,scr4,electricity,dem,0.52208163145059
h2480,LU,scr4,electricity,dem,0.548598114967073
h2481,LU,scr4,electricity,dem,0.570732730351689
h2482,LU,scr4,electricity,dem,0.583135202879161
h2483,LU,scr4,electricity,dem,0.587929158923117
h2484,LU,scr4,electricity,dem,0.583065147934106
h2485,LU,scr4,electricity,dem,0.572648939142898
h2486,LU,scr4,electricity,dem,0.559279433648392
h2487,LU,scr4,electricity,dem,0.551261576505535
h2488,LU,scr4,electricity,dem,0.550104983098941
h2489,LU,scr4,electricity,dem,0.557677785296744
h2490,LU,scr4,electricity,dem,0.568824763318722
h2491,LU,scr4,electricity,dem,0.575462125956084
h2492,LU,scr4,electricity,dem,0.566852235846194
h2493,LU,scr4,electricity,dem,0.555952510571469
h2494,LU,scr4,electricity,dem,0.547655807274766
h2495,LU,scr4,electricity,dem,0.530194268813227
h2496,LU,scr4,electricity,dem,0.504614598483557
h2497,LU,scr4,electricity,dem,0.476377904498842
h2498,LU,scr4,electricity,dem,0.465758399004337
h2499,LU,scr4,electricity,dem,0.462893014388952
h2500,LU,scr4,electricity,dem,0.468814717685656
h2501,LU,scr4,electricity,dem,0.473784497905436
h2502,LU,scr4,electricity,dem,0.491332574828513
h2503,LU,scr4,electricity,dem,0.51600565175159
h2504,LU,scr4,electricity,dem,0.542522135268073
h2505,LU,scr4,electricity,dem,0.564656750652689
h2506,LU,scr4,electricity,dem,0.577059223180161
h2507,LU,scr4,electricity,dem,0.581853179224117
h2508,LU,scr4,electricity,dem,0.576989168235106
h2509,LU,scr4,electricity,dem,0.566572959443898
h2510,LU,scr4,electricity,dem,0.553203453949392
h2511,LU,scr4,electricity,dem,0.545185596806535
h2512,LU,scr4,electricity,dem,0.544029003399941
h2513,LU,scr4,electricity,dem,0.551601805597744
h2514,LU,scr4,electricity,dem,0.562748783619722
h2515,LU,scr4,electricity,dem,0.569386146257084
h2516,LU,scr4,electricity,dem,0.560776256147194
h2517,LU,scr4,electricity,dem,0.549876530872469
h2518,LU,scr4,electricity,dem,0.541579827575766
h2519,LU,scr4,electricity,dem,0.524118289114227
h2520,LU,scr4,electricity,dem,0.498538618784557
h2521,LU,scr4,electricity,dem,0.468206646593842
h2522,LU,scr4,electricity,dem,0.457587141099337
h2523,LU,scr4,electricity,dem,0.454721756483952
h2524,LU,scr4,electricity,dem,0.460643459780656
h2525,LU,scr4,electricity,dem,0.465613240000436
h2526,LU,scr4,electricity,dem,0.483161316923513
h2527,LU,scr4,electricity,dem,0.50783439384659
h2528,LU,scr4,electricity,dem,0.534350877363073
h2529,LU,scr4,electricity,dem,0.556485492747689
h2530,LU,scr4,electricity,dem,0.568887965275161
h2531,LU,scr4,electricity,dem,0.573681921319117
h2532,LU,scr4,electricity,dem,0.568817910330106
h2533,LU,scr4,electricity,dem,0.558401701538897
h2534,LU,scr4,electricity,dem,0.545032196044392
h2535,LU,scr4,electricity,dem,0.537014338901535
h2536,LU,scr4,electricity,dem,0.535857745494941
h2537,LU,scr4,electricity,dem,0.543430547692744
h2538,LU,scr4,electricity,dem,0.554577525714722
h2539,LU,scr4,electricity,dem,0.561214888352084
h2540,LU,scr4,electricity,dem,0.552604998242194
h2541,LU,scr4,electricity,dem,0.541705272967469
h2542,LU,scr4,electricity,dem,0.533408569670766
h2543,LU,scr4,electricity,dem,0.515947031209227
h2544,LU,scr4,electricity,dem,0.490367360879557
h2545,LU,scr4,electricity,dem,0.395190854174842
h2546,LU,scr4,electricity,dem,0.384571348680337
h2547,LU,scr4,electricity,dem,0.381705964064952
h2548,LU,scr4,electricity,dem,0.387627667361656
h2549,LU,scr4,electricity,dem,0.392597447581436
h2550,LU,scr4,electricity,dem,0.410145524504513
h2551,LU,scr4,electricity,dem,0.43481860142759
h2552,LU,scr4,electricity,dem,0.461335084944073
h2553,LU,scr4,electricity,dem,0.483469700328689
h2554,LU,scr4,electricity,dem,0.495872172856161
h2555,LU,scr4,electricity,dem,0.500666128900117
h2556,LU,scr4,electricity,dem,0.495802117911106
h2557,LU,scr4,electricity,dem,0.485385909119898
h2558,LU,scr4,electricity,dem,0.472016403625392
h2559,LU,scr4,electricity,dem,0.463998546482535
h2560,LU,scr4,electricity,dem,0.462841953075941
h2561,LU,scr4,electricity,dem,0.470414755273744
h2562,LU,scr4,electricity,dem,0.481561733295722
h2563,LU,scr4,electricity,dem,0.488199095933084
h2564,LU,scr4,electricity,dem,0.479589205823194
h2565,LU,scr4,electricity,dem,0.468689480548469
h2566,LU,scr4,electricity,dem,0.460392777251766
h2567,LU,scr4,electricity,dem,0.442931238790227
h2568,LU,scr4,electricity,dem,0.417351568460557
h2569,LU,scr4,electricity,dem,0.363692189632842
h2570,LU,scr4,electricity,dem,0.353072684138337
h2571,LU,scr4,electricity,dem,0.350207299522952
h2572,LU,scr4,electricity,dem,0.356129002819656
h2573,LU,scr4,electricity,dem,0.361098783039436
h2574,LU,scr4,electricity,dem,0.378646859962513
h2575,LU,scr4,electricity,dem,0.40331993688559
h2576,LU,scr4,electricity,dem,0.429836420402073
h2577,LU,scr4,electricity,dem,0.451971035786689
h2578,LU,scr4,electricity,dem,0.464373508314161
h2579,LU,scr4,electricity,dem,0.469167464358117
h2580,LU,scr4,electricity,dem,0.464303453369106
h2581,LU,scr4,electricity,dem,0.453887244577897
h2582,LU,scr4,electricity,dem,0.440517739083392
h2583,LU,scr4,electricity,dem,0.432499881940535
h2584,LU,scr4,electricity,dem,0.431343288533941
h2585,LU,scr4,electricity,dem,0.438916090731744
h2586,LU,scr4,electricity,dem,0.450063068753722
h2587,LU,scr4,electricity,dem,0.456700431391084
h2588,LU,scr4,electricity,dem,0.448090541281194
h2589,LU,scr4,electricity,dem,0.437190816006469
h2590,LU,scr4,electricity,dem,0.428894112709766
h2591,LU,scr4,electricity,dem,0.411432574248227
h2592,LU,scr4,electricity,dem,0.385852903918557
h2593,LU,scr4,electricity,dem,0.451022086840842
h2594,LU,scr4,electricity,dem,0.440402581346337
h2595,LU,scr4,electricity,dem,0.437537196730952
h2596,LU,scr4,electricity,dem,0.443458900027656
h2597,LU,scr4,electricity,dem,0.448428680247436
h2598,LU,scr4,electricity,dem,0.465976757170513
h2599,LU,scr4,electricity,dem,0.49064983409359
h2600,LU,scr4,electricity,dem,0.517166317610073
h2601,LU,scr4,electricity,dem,0.539300932994689
h2602,LU,scr4,electricity,dem,0.551703405522161
h2603,LU,scr4,electricity,dem,0.556497361566117
h2604,LU,scr4,electricity,dem,0.551633350577106
h2605,LU,scr4,electricity,dem,0.541217141785898
h2606,LU,scr4,electricity,dem,0.527847636291392
h2607,LU,scr4,electricity,dem,0.519829779148535
h2608,LU,scr4,electricity,dem,0.518673185741941
h2609,LU,scr4,electricity,dem,0.526245987939744
h2610,LU,scr4,electricity,dem,0.537392965961722
h2611,LU,scr4,electricity,dem,0.544030328599084
h2612,LU,scr4,electricity,dem,0.535420438489194
h2613,LU,scr4,electricity,dem,0.524520713214469
h2614,LU,scr4,electricity,dem,0.516224009917766
h2615,LU,scr4,electricity,dem,0.498762471456227
h2616,LU,scr4,electricity,dem,0.473182801126557
h2617,LU,scr4,electricity,dem,0.467453295028842
h2618,LU,scr4,electricity,dem,0.456833789534337
h2619,LU,scr4,electricity,dem,0.453968404918952
h2620,LU,scr4,electricity,dem,0.459890108215656
h2621,LU,scr4,electricity,dem,0.464859888435436
h2622,LU,scr4,electricity,dem,0.482407965358513
h2623,LU,scr4,electricity,dem,0.50708104228159
h2624,LU,scr4,electricity,dem,0.533597525798073
h2625,LU,scr4,electricity,dem,0.555732141182689
h2626,LU,scr4,electricity,dem,0.568134613710161
h2627,LU,scr4,electricity,dem,0.572928569754117
h2628,LU,scr4,electricity,dem,0.568064558765106
h2629,LU,scr4,electricity,dem,0.557648349973897
h2630,LU,scr4,electricity,dem,0.544278844479392
h2631,LU,scr4,electricity,dem,0.536260987336535
h2632,LU,scr4,electricity,dem,0.535104393929941
h2633,LU,scr4,electricity,dem,0.542677196127744
h2634,LU,scr4,electricity,dem,0.553824174149721
h2635,LU,scr4,electricity,dem,0.560461536787084
h2636,LU,scr4,electricity,dem,0.551851646677194
h2637,LU,scr4,electricity,dem,0.540951921402469
h2638,LU,scr4,electricity,dem,0.532655218105766
h2639,LU,scr4,electricity,dem,0.515193679644227
h2640,LU,scr4,electricity,dem,0.489614009314557
h2641,LU,scr4,electricity,dem,0.463447754400842
h2642,LU,scr4,electricity,dem,0.452828248906337
h2643,LU,scr4,electricity,dem,0.449962864290952
h2644,LU,scr4,electricity,dem,0.455884567587656
h2645,LU,scr4,electricity,dem,0.460854347807436
h2646,LU,scr4,electricity,dem,0.478402424730513
h2647,LU,scr4,electricity,dem,0.50307550165359
h2648,LU,scr4,electricity,dem,0.529591985170073
h2649,LU,scr4,electricity,dem,0.551726600554689
h2650,LU,scr4,electricity,dem,0.564129073082161
h2651,LU,scr4,electricity,dem,0.568923029126117
h2652,LU,scr4,electricity,dem,0.564059018137106
h2653,LU,scr4,electricity,dem,0.553642809345897
h2654,LU,scr4,electricity,dem,0.540273303851392
h2655,LU,scr4,electricity,dem,0.532255446708535
h2656,LU,scr4,electricity,dem,0.531098853301941
h2657,LU,scr4,electricity,dem,0.538671655499744
h2658,LU,scr4,electricity,dem,0.549818633521721
h2659,LU,scr4,electricity,dem,0.556455996159084
h2660,LU,scr4,electricity,dem,0.547846106049194
h2661,LU,scr4,electricity,dem,0.536946380774469
h2662,LU,scr4,electricity,dem,0.528649677477766
h2663,LU,scr4,electricity,dem,0.511188139016227
h2664,LU,scr4,electricity,dem,0.485608468686557
h2665,LU,scr4,electricity,dem,0.463891178971842
h2666,LU,scr4,electricity,dem,0.453271673477337
h2667,LU,scr4,electricity,dem,0.450406288861952
h2668,LU,scr4,electricity,dem,0.456327992158656
h2669,LU,scr4,electricity,dem,0.461297772378436
h2670,LU,scr4,electricity,dem,0.478845849301513
h2671,LU,scr4,electricity,dem,0.50351892622459
h2672,LU,scr4,electricity,dem,0.530035409741073
h2673,LU,scr4,electricity,dem,0.552170025125689
h2674,LU,scr4,electricity,dem,0.564572497653161
h2675,LU,scr4,electricity,dem,0.569366453697117
h2676,LU,scr4,electricity,dem,0.564502442708106
h2677,LU,scr4,electricity,dem,0.554086233916897
h2678,LU,scr4,electricity,dem,0.540716728422392
h2679,LU,scr4,electricity,dem,0.532698871279535
h2680,LU,scr4,electricity,dem,0.531542277872941
h2681,LU,scr4,electricity,dem,0.539115080070744
h2682,LU,scr4,electricity,dem,0.550262058092722
h2683,LU,scr4,electricity,dem,0.556899420730084
h2684,LU,scr4,electricity,dem,0.548289530620194
h2685,LU,scr4,electricity,dem,0.537389805345469
h2686,LU,scr4,electricity,dem,0.529093102048766
h2687,LU,scr4,electricity,dem,0.511631563587227
h2688,LU,scr4,electricity,dem,0.486051893257557
h2689,LU,scr4,electricity,dem,0.466026526895842
h2690,LU,scr4,electricity,dem,0.455407021401337
h2691,LU,scr4,electricity,dem,0.452541636785952
h2692,LU,scr4,electricity,dem,0.458463340082656
h2693,LU,scr4,electricity,dem,0.463433120302436
h2694,LU,scr4,electricity,dem,0.480981197225513
h2695,LU,scr4,electricity,dem,0.50565427414859
h2696,LU,scr4,electricity,dem,0.532170757665073
h2697,LU,scr4,electricity,dem,0.554305373049689
h2698,LU,scr4,electricity,dem,0.566707845577161
h2699,LU,scr4,electricity,dem,0.571501801621117
h2700,LU,scr4,electricity,dem,0.566637790632106
h2701,LU,scr4,electricity,dem,0.556221581840898
h2702,LU,scr4,electricity,dem,0.542852076346392
h2703,LU,scr4,electricity,dem,0.534834219203535
h2704,LU,scr4,electricity,dem,0.533677625796941
h2705,LU,scr4,electricity,dem,0.541250427994744
h2706,LU,scr4,electricity,dem,0.552397406016722
h2707,LU,scr4,electricity,dem,0.559034768654084
h2708,LU,scr4,electricity,dem,0.550424878544194
h2709,LU,scr4,electricity,dem,0.539525153269469
h2710,LU,scr4,electricity,dem,0.531228449972766
h2711,LU,scr4,electricity,dem,0.513766911511227
h2712,LU,scr4,electricity,dem,0.488187241181557
h2713,LU,scr4,electricity,dem,0.402029691773842
h2714,LU,scr4,electricity,dem,0.391410186279337
h2715,LU,scr4,electricity,dem,0.388544801663952
h2716,LU,scr4,electricity,dem,0.394466504960656
h2717,LU,scr4,electricity,dem,0.399436285180436
h2718,LU,scr4,electricity,dem,0.416984362103513
h2719,LU,scr4,electricity,dem,0.44165743902659
h2720,LU,scr4,electricity,dem,0.468173922543073
h2721,LU,scr4,electricity,dem,0.490308537927689
h2722,LU,scr4,electricity,dem,0.502711010455161
h2723,LU,scr4,electricity,dem,0.507504966499117
h2724,LU,scr4,electricity,dem,0.502640955510106
h2725,LU,scr4,electricity,dem,0.492224746718897
h2726,LU,scr4,electricity,dem,0.478855241224392
h2727,LU,scr4,electricity,dem,0.470837384081535
h2728,LU,scr4,electricity,dem,0.469680790674941
h2729,LU,scr4,electricity,dem,0.477253592872744
h2730,LU,scr4,electricity,dem,0.488400570894722
h2731,LU,scr4,electricity,dem,0.495037933532084
h2732,LU,scr4,electricity,dem,0.486428043422194
h2733,LU,scr4,electricity,dem,0.475528318147469
h2734,LU,scr4,electricity,dem,0.467231614850766
h2735,LU,scr4,electricity,dem,0.449770076389227
h2736,LU,scr4,electricity,dem,0.424190406059557
h2737,LU,scr4,electricity,dem,0.357913461813842
h2738,LU,scr4,electricity,dem,0.347293956319337
h2739,LU,scr4,electricity,dem,0.344428571703952
h2740,LU,scr4,electricity,dem,0.350350275000656
h2741,LU,scr4,electricity,dem,0.355320055220436
h2742,LU,scr4,electricity,dem,0.372868132143513
h2743,LU,scr4,electricity,dem,0.39754120906659
