timestep_4,region_1,scenario_1,technology_1,parameter,value
h2432,CH,scr4,solar,avaConv,0.339078616609393
h2433,CH,scr4,solar,avaConv,0.504434362700158
h2434,CH,scr4,solar,avaConv,0.603753006076483
h2435,CH,scr4,solar,avaConv,0.658273817960814
h2436,CH,scr4,solar,avaConv,0.693335451972981
h2437,CH,scr4,solar,avaConv,0.681117184816653
h2438,CH,scr4,solar,avaConv,0.566261296624381
h2439,CH,scr4,solar,avaConv,0.378243971451623
h2440,CH,scr4,solar,avaConv,0.231527966500747
h2441,CH,scr4,solar,avaConv,0.116929414366993
h2442,CH,scr4,solar,avaConv,0.0325174170107725
h2443,CH,scr4,solar,avaConv,6.55500208743214e-5
h2444,CH,scr4,solar,avaConv,0.0
h2445,CH,scr4,solar,avaConv,0.0
h2446,CH,scr4,solar,avaConv,0.0
h2447,CH,scr4,solar,avaConv,0.0
h2448,CH,scr4,solar,avaConv,0.0
h2449,CH,scr4,solar,avaConv,0.0
h2450,CH,scr4,solar,avaConv,0.0
h2451,CH,scr4,solar,avaConv,0.0
h2452,CH,scr4,solar,avaConv,0.0
h2453,CH,scr4,solar,avaConv,0.000335395624749312
h2454,CH,scr4,solar,avaConv,0.0450815925311946
h2455,CH,scr4,solar,avaConv,0.172302270760441
h2456,CH,scr4,solar,avaConv,0.345833699034593
h2457,CH,scr4,solar,avaConv,0.489704907793855
h2458,CH,scr4,solar,avaConv,0.585972010021586
h2459,CH,scr4,solar,avaConv,0.657445378688514
h2460,CH,scr4,solar,avaConv,0.681059426604887
h2461,CH,scr4,solar,avaConv,0.637370642081727
h2462,CH,scr4,solar,avaConv,0.553274652646496
h2463,CH,scr4,solar,avaConv,0.434405593964219
h2464,CH,scr4,solar,avaConv,0.283170949726516
h2465,CH,scr4,solar,avaConv,0.146968142421834
h2466,CH,scr4,solar,avaConv,0.0390005684406882
h2467,CH,scr4,solar,avaConv,0.000110248124796761
h2468,CH,scr4,solar,avaConv,0.0
h2469,CH,scr4,solar,avaConv,0.0
h2470,CH,scr4,solar,avaConv,0.0
h2471,CH,scr4,solar,avaConv,0.0
h2472,CH,scr4,solar,avaConv,0.0
h2473,CH,scr4,solar,avaConv,0.0
h2474,CH,scr4,solar,avaConv,0.0
h2475,CH,scr4,solar,avaConv,0.0
h2476,CH,scr4,solar,avaConv,0.0
h2477,CH,scr4,solar,avaConv,0.000565505555529366
h2478,CH,scr4,solar,avaConv,0.0611178527857779
h2479,CH,scr4,solar,avaConv,0.224169909898926
h2480,CH,scr4,solar,avaConv,0.400317319875346
h2481,CH,scr4,solar,avaConv,0.53690132694261
h2482,CH,scr4,solar,avaConv,0.659244678566422
h2483,CH,scr4,solar,avaConv,0.733071982742573
h2484,CH,scr4,solar,avaConv,0.762876457026771
h2485,CH,scr4,solar,avaConv,0.741909002086683
h2486,CH,scr4,solar,avaConv,0.654697803115184
h2487,CH,scr4,solar,avaConv,0.531019315298353
h2488,CH,scr4,solar,avaConv,0.375278871151275
h2489,CH,scr4,solar,avaConv,0.209398864361458
h2490,CH,scr4,solar,avaConv,0.058098364177393
h2491,CH,scr4,solar,avaConv,0.000286815039449002
h2492,CH,scr4,solar,avaConv,0.0
h2493,CH,scr4,solar,avaConv,0.0
h2494,CH,scr4,solar,avaConv,0.0
h2495,CH,scr4,solar,avaConv,0.0
h2496,CH,scr4,solar,avaConv,0.0
h2497,CH,scr4,solar,avaConv,0.0
h2498,CH,scr4,solar,avaConv,0.0
h2499,CH,scr4,solar,avaConv,0.0
h2500,CH,scr4,solar,avaConv,0.0
h2501,CH,scr4,solar,avaConv,0.000939696939269451
h2502,CH,scr4,solar,avaConv,0.0679604551219063
h2503,CH,scr4,solar,avaConv,0.224040360669965
h2504,CH,scr4,solar,avaConv,0.411207998533174
h2505,CH,scr4,solar,avaConv,0.576162185244131
h2506,CH,scr4,solar,avaConv,0.687805232075082
h2507,CH,scr4,solar,avaConv,0.749482486991285
h2508,CH,scr4,solar,avaConv,0.743065235694808
h2509,CH,scr4,solar,avaConv,0.683308600223095
h2510,CH,scr4,solar,avaConv,0.581054830537762
h2511,CH,scr4,solar,avaConv,0.454790902225504
h2512,CH,scr4,solar,avaConv,0.313847465960988
h2513,CH,scr4,solar,avaConv,0.17699528865767
h2514,CH,scr4,solar,avaConv,0.05233142693706
h2515,CH,scr4,solar,avaConv,0.00032897305738341
h2516,CH,scr4,solar,avaConv,0.0
h2517,CH,scr4,solar,avaConv,0.0
h2518,CH,scr4,solar,avaConv,0.0
h2519,CH,scr4,solar,avaConv,0.0
h2520,CH,scr4,solar,avaConv,0.0
h2521,CH,scr4,solar,avaConv,0.0
h2522,CH,scr4,solar,avaConv,0.0
h2523,CH,scr4,solar,avaConv,0.0
h2524,CH,scr4,solar,avaConv,0.0
h2525,CH,scr4,solar,avaConv,0.00115455382312454
h2526,CH,scr4,solar,avaConv,0.0701028966479969
h2527,CH,scr4,solar,avaConv,0.231510985210276
h2528,CH,scr4,solar,avaConv,0.41229189871797
h2529,CH,scr4,solar,avaConv,0.582088690612506
h2530,CH,scr4,solar,avaConv,0.716981860951168
h2531,CH,scr4,solar,avaConv,0.790177818309359
h2532,CH,scr4,solar,avaConv,0.808357675149375
h2533,CH,scr4,solar,avaConv,0.760176382047062
h2534,CH,scr4,solar,avaConv,0.653832404392341
h2535,CH,scr4,solar,avaConv,0.5189314861024
h2536,CH,scr4,solar,avaConv,0.370663133306996
h2537,CH,scr4,solar,avaConv,0.207369252893133
h2538,CH,scr4,solar,avaConv,0.0631542426356129
h2539,CH,scr4,solar,avaConv,0.000576386350076875
h2540,CH,scr4,solar,avaConv,0.0
h2541,CH,scr4,solar,avaConv,0.0
h2542,CH,scr4,solar,avaConv,0.0
h2543,CH,scr4,solar,avaConv,0.0
h2544,CH,scr4,solar,avaConv,0.0
h2545,CH,scr4,solar,avaConv,0.0
h2546,CH,scr4,solar,avaConv,0.0
h2547,CH,scr4,solar,avaConv,0.0
h2548,CH,scr4,solar,avaConv,0.0
h2549,CH,scr4,solar,avaConv,0.0012788428965151
h2550,CH,scr4,solar,avaConv,0.0592422184206984
h2551,CH,scr4,solar,avaConv,0.166975492837944
h2552,CH,scr4,solar,avaConv,0.273954975275711
h2553,CH,scr4,solar,avaConv,0.369695034100903
h2554,CH,scr4,solar,avaConv,0.46611426066029
h2555,CH,scr4,solar,avaConv,0.545330185999469
h2556,CH,scr4,solar,avaConv,0.597405372148845
h2557,CH,scr4,solar,avaConv,0.614922921417343
h2558,CH,scr4,solar,avaConv,0.584524596813903
h2559,CH,scr4,solar,avaConv,0.498909420773483
h2560,CH,scr4,solar,avaConv,0.360667031542572
h2561,CH,scr4,solar,avaConv,0.193581070461274
h2562,CH,scr4,solar,avaConv,0.0597821213116352
h2563,CH,scr4,solar,avaConv,0.00074924000458554
h2564,CH,scr4,solar,avaConv,0.0
h2565,CH,scr4,solar,avaConv,0.0
h2566,CH,scr4,solar,avaConv,0.0
h2567,CH,scr4,solar,avaConv,0.0
h2568,CH,scr4,solar,avaConv,0.0
h2569,CH,scr4,solar,avaConv,0.0
h2570,CH,scr4,solar,avaConv,0.0
h2571,CH,scr4,solar,avaConv,0.0
h2572,CH,scr4,solar,avaConv,0.0
h2573,CH,scr4,solar,avaConv,0.00219163172464947
h2574,CH,scr4,solar,avaConv,0.0898999763803436
h2575,CH,scr4,solar,avaConv,0.26646958156189
h2576,CH,scr4,solar,avaConv,0.459648442182631
h2577,CH,scr4,solar,avaConv,0.631871500839039
h2578,CH,scr4,solar,avaConv,0.759038364157462
h2579,CH,scr4,solar,avaConv,0.837696158231315
h2580,CH,scr4,solar,avaConv,0.861930970007097
h2581,CH,scr4,solar,avaConv,0.830168970161612
h2582,CH,scr4,solar,avaConv,0.739242371748935
h2583,CH,scr4,solar,avaConv,0.595646470384138
h2584,CH,scr4,solar,avaConv,0.405852130613398
h2585,CH,scr4,solar,avaConv,0.209104339034417
h2586,CH,scr4,solar,avaConv,0.0595995174877823
h2587,CH,scr4,solar,avaConv,0.00104636015514718
h2588,CH,scr4,solar,avaConv,0.0
h2589,CH,scr4,solar,avaConv,0.0
h2590,CH,scr4,solar,avaConv,0.0
h2591,CH,scr4,solar,avaConv,0.0
h2592,CH,scr4,solar,avaConv,0.0
h2593,CH,scr4,solar,avaConv,0.0
h2594,CH,scr4,solar,avaConv,0.0
h2595,CH,scr4,solar,avaConv,0.0
h2596,CH,scr4,solar,avaConv,0.0
h2597,CH,scr4,solar,avaConv,0.00289928257220921
h2598,CH,scr4,solar,avaConv,0.0985275272408227
h2599,CH,scr4,solar,avaConv,0.282550285825681
h2600,CH,scr4,solar,avaConv,0.473876066261512
h2601,CH,scr4,solar,avaConv,0.643634313518835
h2602,CH,scr4,solar,avaConv,0.772545064783013
h2603,CH,scr4,solar,avaConv,0.85140339666355
h2604,CH,scr4,solar,avaConv,0.87627148329523
h2605,CH,scr4,solar,avaConv,0.844226146833366
h2606,CH,scr4,solar,avaConv,0.757977857198046
h2607,CH,scr4,solar,avaConv,0.624245002005709
h2608,CH,scr4,solar,avaConv,0.455431805867502
h2609,CH,scr4,solar,avaConv,0.26720873593008
h2610,CH,scr4,solar,avaConv,0.0893463822247686
h2611,CH,scr4,solar,avaConv,0.00172428495212
h2612,CH,scr4,solar,avaConv,0.0
h2613,CH,scr4,solar,avaConv,0.0
h2614,CH,scr4,solar,avaConv,0.0
h2615,CH,scr4,solar,avaConv,0.0
h2616,CH,scr4,solar,avaConv,0.0
h2617,CH,scr4,solar,avaConv,0.0
h2618,CH,scr4,solar,avaConv,0.0
h2619,CH,scr4,solar,avaConv,0.0
