timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2428,CH,scr1,electricity,dem,6.26357714030019
h2429,CH,scr1,electricity,dem,6.32554966777271
h2430,CH,scr1,electricity,dem,6.50881889854194
h2431,CH,scr1,electricity,dem,6.86400571172875
h2432,CH,scr1,electricity,dem,7.17062659084964
h2433,CH,scr1,electricity,dem,7.33611010733315
h2434,CH,scr1,electricity,dem,7.44768153590458
h2435,CH,scr1,electricity,dem,7.5692584589815
h2436,CH,scr1,electricity,dem,7.3965606567837
h2437,CH,scr1,electricity,dem,7.32841779964084
h2438,CH,scr1,electricity,dem,7.26464307436612
h2439,CH,scr1,electricity,dem,7.16164856887161
h2440,CH,scr1,electricity,dem,7.07452219524523
h2441,CH,scr1,electricity,dem,6.98029692051997
h2442,CH,scr1,electricity,dem,6.90460461282766
h2443,CH,scr1,electricity,dem,6.89798922821227
h2444,CH,scr1,electricity,dem,6.90491230513535
h2445,CH,scr1,electricity,dem,6.75622549194853
h2446,CH,scr1,electricity,dem,6.57200571172875
h2447,CH,scr1,electricity,dem,6.3285606567837
h2448,CH,scr1,electricity,dem,6.24834637106942
h2449,CH,scr1,electricity,dem,7.08883947728964
h2450,CH,scr1,electricity,dem,7.129976839927
h2451,CH,scr1,electricity,dem,7.17220760915777
h2452,CH,scr1,electricity,dem,7.09979002674019
h2453,CH,scr1,electricity,dem,7.16176255421271
h2454,CH,scr1,electricity,dem,7.34503178498194
h2455,CH,scr1,electricity,dem,7.70021859816875
h2456,CH,scr1,electricity,dem,8.00683947728964
h2457,CH,scr1,electricity,dem,8.17232299377315
h2458,CH,scr1,electricity,dem,8.28389442234458
h2459,CH,scr1,electricity,dem,8.4054713454215
h2460,CH,scr1,electricity,dem,8.2327735432237
h2461,CH,scr1,electricity,dem,8.16463068608084
h2462,CH,scr1,electricity,dem,8.10085596080612
h2463,CH,scr1,electricity,dem,7.99786145531161
h2464,CH,scr1,electricity,dem,7.91073508168523
h2465,CH,scr1,electricity,dem,7.81650980695997
h2466,CH,scr1,electricity,dem,7.74081749926766
h2467,CH,scr1,electricity,dem,7.73420211465227
h2468,CH,scr1,electricity,dem,7.74112519157535
h2469,CH,scr1,electricity,dem,7.59243837838853
h2470,CH,scr1,electricity,dem,7.40821859816875
h2471,CH,scr1,electricity,dem,7.1647735432237
h2472,CH,scr1,electricity,dem,7.08455925750942
h2473,CH,scr1,electricity,dem,7.13261061728964
h2474,CH,scr1,electricity,dem,7.173747979927
h2475,CH,scr1,electricity,dem,7.21597874915777
h2476,CH,scr1,electricity,dem,7.14356116674018
h2477,CH,scr1,electricity,dem,7.20553369421271
h2478,CH,scr1,electricity,dem,7.38880292498194
h2479,CH,scr1,electricity,dem,7.74398973816875
h2480,CH,scr1,electricity,dem,8.05061061728964
h2481,CH,scr1,electricity,dem,8.21609413377315
h2482,CH,scr1,electricity,dem,8.32766556234458
h2483,CH,scr1,electricity,dem,8.4492424854215
h2484,CH,scr1,electricity,dem,8.2765446832237
h2485,CH,scr1,electricity,dem,8.20840182608084
h2486,CH,scr1,electricity,dem,8.14462710080612
h2487,CH,scr1,electricity,dem,8.04163259531161
h2488,CH,scr1,electricity,dem,7.95450622168523
h2489,CH,scr1,electricity,dem,7.86028094695997
h2490,CH,scr1,electricity,dem,7.78458863926766
h2491,CH,scr1,electricity,dem,7.77797325465227
h2492,CH,scr1,electricity,dem,7.78489633157535
h2493,CH,scr1,electricity,dem,7.63620951838853
h2494,CH,scr1,electricity,dem,7.45198973816875
h2495,CH,scr1,electricity,dem,7.2085446832237
h2496,CH,scr1,electricity,dem,7.12833039750942
h2497,CH,scr1,electricity,dem,6.90701757074964
h2498,CH,scr1,electricity,dem,6.948154933387
h2499,CH,scr1,electricity,dem,6.99038570261777
h2500,CH,scr1,electricity,dem,6.91796812020019
h2501,CH,scr1,electricity,dem,6.97994064767271
h2502,CH,scr1,electricity,dem,7.16320987844194
h2503,CH,scr1,electricity,dem,7.51839669162875
h2504,CH,scr1,electricity,dem,7.82501757074964
h2505,CH,scr1,electricity,dem,7.99050108723315
h2506,CH,scr1,electricity,dem,8.10207251580458
h2507,CH,scr1,electricity,dem,8.2236494388815
h2508,CH,scr1,electricity,dem,8.0509516366837
h2509,CH,scr1,electricity,dem,7.98280877954084
h2510,CH,scr1,electricity,dem,7.91903405426612
h2511,CH,scr1,electricity,dem,7.81603954877161
h2512,CH,scr1,electricity,dem,7.72891317514524
h2513,CH,scr1,electricity,dem,7.63468790041997
h2514,CH,scr1,electricity,dem,7.55899559272766
h2515,CH,scr1,electricity,dem,7.55238020811227
h2516,CH,scr1,electricity,dem,7.55930328503535
h2517,CH,scr1,electricity,dem,7.41061647184853
h2518,CH,scr1,electricity,dem,7.22639669162876
h2519,CH,scr1,electricity,dem,6.9829516366837
h2520,CH,scr1,electricity,dem,6.90273735096942
h2521,CH,scr1,electricity,dem,6.88635827118964
h2522,CH,scr1,electricity,dem,6.927495633827
h2523,CH,scr1,electricity,dem,6.96972640305777
h2524,CH,scr1,electricity,dem,6.89730882064019
h2525,CH,scr1,electricity,dem,6.95928134811271
h2526,CH,scr1,electricity,dem,7.14255057888194
h2527,CH,scr1,electricity,dem,7.49773739206875
h2528,CH,scr1,electricity,dem,7.80435827118964
h2529,CH,scr1,electricity,dem,7.96984178767315
h2530,CH,scr1,electricity,dem,8.08141321624458
h2531,CH,scr1,electricity,dem,8.2029901393215
h2532,CH,scr1,electricity,dem,8.0302923371237
h2533,CH,scr1,electricity,dem,7.96214947998084
h2534,CH,scr1,electricity,dem,7.89837475470612
h2535,CH,scr1,electricity,dem,7.79538024921161
h2536,CH,scr1,electricity,dem,7.70825387558524
h2537,CH,scr1,electricity,dem,7.61402860085997
h2538,CH,scr1,electricity,dem,7.53833629316766
h2539,CH,scr1,electricity,dem,7.53172090855227
h2540,CH,scr1,electricity,dem,7.53864398547535
h2541,CH,scr1,electricity,dem,7.38995717228853
h2542,CH,scr1,electricity,dem,7.20573739206875
h2543,CH,scr1,electricity,dem,6.9622923371237
h2544,CH,scr1,electricity,dem,6.88207805140942
h2545,CH,scr1,electricity,dem,6.72319963997964
h2546,CH,scr1,electricity,dem,6.764337002617
